3008,19971,99,20070
415,2969,12699,15668
1034,14802,9047,23849
2005,20726,42214,62940
3438,56180,60292,116472
4206,56161,57151,113312
4230,74733,63415,138148
7245,64611,72208,136819
8162,104156,51412,155568
10056,121621,39479,161100
11027,141661,33079,174740
7262,76770,3008,79778
7874,142459,6045,148504
5852,161790,0,161790
5477,177189,0,177189
6221,206853,0,206853
6767,215949,0,215949
8234,268738,99,268837
10258,322937,0,322937
10568,335984,3009,338993
17667,358213,0,358213
13542,418101,3001,421102
14726,342204,0,342204
12601,410580,0,410580
12588,386793,0,386793
12762,415801,0,415801
12572,414626,0,414626
12582,395234,0,395234
12235,389889,0,389889
13137,427928,0,427928
13133,430750,0,430750
14257,461211,0,461211
18052,416206,3007,419213
16284,481685,0,481685
15739,505328,0,505328
15738,509105,0,509105
15117,503763,0,503763
14641,470839,99,470938
15172,496719,0,496719
15200,494669,0,494669
15213,467852,0,467852
15897,526070,0,526070
17135,570778,0,570778
17533,552392,0,552392
19720,679252,0,679252
21715,702458,0,702458
21291,688744,0,688744
22363,699681,3011,702692
29299,593379,3008,596387
23787,723816,0,723816
21215,662596,0,662596
21006,667695,0,667695
21338,740385,0,740385
21192,664855,212,665067
21382,662107,0,662107
21174,735144,0,735144
21094,667648,0,667648
21267,664235,596,664831
21013,514227,595,514822
16009,369815,3313,373128
29159,675572,3007,678579
22696,653560,397,653957
21396,692117,596,692713
21057,684135,497,684632
21027,671309,0,671309
21588,713639,381,714020
21122,686196,762,686958
20926,384797,3295,388092
21811,689019,114,689133
21023,677100,381,677481
22642,719878,763,720641
21487,680341,290,680631
21304,660351,0,660351
21219,724870,381,725251
21359,602361,762,603123
17401,328703,3307,332010
22803,719182,0,719182
20828,694432,481,694913
21512,695876,671,696547
21174,684937,0,684937
20949,668553,0,668553
20641,661798,0,661798
20614,681582,0,681582
19909,641087,0,641087
20491,665814,0,665814
19927,644617,0,644617
27031,580250,3013,583263
22726,722527,0,722527
21210,677253,0,677253
21223,694328,0,694328
21455,691079,0,691079
21064,681405,0,681405
21193,685556,0,685556
21219,686393,0,686393
21362,691034,0,691034
25800,553234,3008,556242
22129,704010,0,704010
21209,700855,99,700954
21168,693621,0,693621
21333,696001,0,696001
20986,675915,3006,678921
28059,617648,0,617648
19873,639915,3004,642919
29308,611112,0,611112
19586,648382,0,648382
20869,686928,0,686928
24554,596171,3016,599187
24073,698461,0,698461
21248,671489,0,671489
21060,696063,0,696063
21236,686954,0,686954
21193,685565,0,685565
21238,672216,0,672216
22451,662949,3014,665963
25534,608246,0,608246
21208,697884,0,697884
21120,694970,0,694970
21277,693100,99,693199
21023,674135,0,674135
21371,700190,0,700190
21239,687046,0,687046
21099,685506,0,685506
20962,687286,0,687286
21145,686965,0,686965
