2449,12928
13796,150649
24534,288511
24389,304843
28106,217947
31419,295779
32342,338885
37994,321638
24128,287150
22632,433656
24760,498614
22982,611190
18104,515787
18231,635506
16140,590592
14814,539278
15291,498959
8675,360104
4120,475952
2171,412118
3191,321338
3465,306404
2811,325635
5003,322010
2175,406893
1987,466506
1364,463619
1545,486716
1546,469030
2173,523896
2899,428487
1990,693197
1549,625991
2176,684298
1842,684836
3092,747568
2797,906242
2833,1121356
2173,966363
2088,913168
3329,959008
3041,1176440
1470,1216224
2670,779858
7494,1215471
2126,1228012
1791,1442087
1214,1177678
9727,1098275
2088,1476742
738,1355984
1835,1440545
2719,1229482
7274,1348925
2566,1074054
4275,1284479
2593,1359832
2217,1487679
1215,1226228
2462,1104272
1839,1158397
2610,1106971
369,1490258
1909,1087380
2171,1314246
2456,1354185
2279,1575135
1834,1498572
1655,994043
924,1216207
4776,1201974
2915,1386299
3088,1056976
2272,1358526
6298,1281748
3087,879170
3576,1434876
1652,1170031
2124,1327282
1177,1253933
1361,1475394
2460,1055104
1984,1262079
2704,1339791
554,993088
2092,815482
2386,910126
8322,1294817
2225,1109015
1359,1469859
2271,1313071
1028,859399
1548,1170557
1642,680426
1545,1466491
1547,917459
3862,889433
809,596
828,594
2427,415636
1180,280312
3531,794
1389,594
2215,448363
1175,249192
0,762
743,12828
1871,225162
11083,309965
0,762
622,6673
1988,457673
2160,516274
0,763
0,6679
1651,438802
4108,285861
0,763
2895,177982
7275,270651
14310,457775
14054,548491
17380,655894
18684,713609
16968,828544
14494,854001
12950,1154524
10198,993973
9910,1301037
4973,1389976
3013,1244292
2924,1387068
1172,1059654
1807,1577601
3360,1110385
5902,1272032
4406,1439841
1547,1455817
1471,1519157
1982,1290398
1547,1302516
1721,1109201
1362,1349882
1364,918618
2429,1343576
1651,1157184
1655,1061238
1363,975127
1364,761919
3047,977011
2241,1123479
809,1246365
739,1023493
1623,329131
553,946813
994,656595
737,869736
1755,492839
2961,1133812
6579,741311
1256,961753
1988,855161
2273,669798
1028,1109360
1943,625940
2562,1237162
1802,836254
1613,1158182
7697,1018256
1177,904711
3365,1244841
9254,872658
6561,1063764
1983,567498
1466,1036245
1549,825366
3285,1160582
1985,1166187
2389,693008
1026,825423
3843,912495
5051,995730
0,718647
2751,689106
1833,609493
3229,958195
2718,1237580
3082,1160045
2093,1165155
2609,1067546
2457,1366803
3233,1208765
2902,1315379
2731,1186066
2898,1307527
4577,1503653
2636,1229806
2901,1480666
3479,1233194
6849,1290806
2459,1178266
2457,1204306
2797,1392394
3857,992307
2913,1320685
1175,1066050
2798,1361226
3079,921702
3643,1423528
3424,1476126
2462,1206045
3633,873343
2748,1025321
1546,1171246
4333,908714
3155,1248595
3273,1043466
3533,1142891
5659,1386395
3230,937275
4133,1125706
5215,1159074
5174,1383893
4256,1114719
3049,1429533
2166,1569798
2500,977188
10383,1005396
4183,1245240
1756,1253288
2165,1241704
1657,1143477
2613,921463
2798,1272499
2427,1438931
3973,1209306
2869,1033379
3158,852331
2760,1265679
2236,1106026
1652,1253836
3014,1091197
2614,894541
2244,1390248
2570,1255603
1470,1344041
2466,1259665
5988,1147946
2433,1318434
2279,1322374
2223,1258916
3422,1020716
4334,824363
4947,1294773
1690,1381577
2568,1110641
1467,1349958
3422,1401796
3020,613033
1545,1090498
2449,1388979
4178,948359
0,595
1232,596
2426,445410
1432,183856
2515,597
853,181026
2682,358359
2335,235095
0,571
1801,84678
2682,391383
1805,268444
0,761
1620,27595
4251,258807
4454,178158
0,762
996,18575
4971,198538
2777,204958
0,762
4215,165343
4852,258961
5455,216240
9401,304319
14768,412684
5128,464219
4386,593336
3476,669532
3678,842684
2794,908070
3235,734156
2665,822890
2173,1116834
2846,1234097
2149,1073143
1823,1249741
3313,1156971
1362,1136724
3652,1151659
4140,1086789
2038,1144196
3753,1017683
1548,1107167
2800,1024675
2478,1331026
2175,1000682
3998,1101152
3019,1216484
1177,1028097
2334,1035459
1621,1070388
1655,1343568
2177,745176
3088,924268
7468,904876
9617,1438230
2115,1061087
2515,1387522
2796,1435343
2092,794254
5235,1098168
2096,1103533
2064,1296116
3347,1102311
2902,1288353
1548,1405295
1801,1061540
2241,1301650
3042,1107304
1174,776539
1799,1063286
2609,1232955
2689,1268688
2603,1019924
3847,1235876
4138,1113294
3958,1435637
4335,926264
1547,1284224
2901,1031853
2858,1299210
2458,1243931
4828,1033991
4428,806783
11166,1019782
5944,1048286
4143,1174693
2910,1418439
2428,1135268
3107,1271565
2909,1031748
4006,960263
4921,1276507
3238,1120459
2429,1331688
2792,1253032
3676,1378755
3421,1288298
3666,1206929
1803,1380948
4112,792614
6095,1251182
3519,1193508
3710,954293
3669,1162685
1916,1308089
3298,1291867
4109,1129688
4048,903738
3623,1066465
3089,1343669
2172,1186189
2798,1264836
2902,1205379
1467,1205856
5797,1288575
2792,928657
1567,1260526
2537,1005093
2567,1390001
3610,963145
2720,1168986
3988,1251310
2422,1108317
2673,1221282
2097,859746
3429,1074144
2094,1174503
3054,1349698
2464,1262190
1366,1064873
4151,1191938
9044,937187
10423,1332548
3725,1203727
3371,1079878
3233,1233006
3777,1157784
3344,1256186
1803,1246376
2234,869637
2627,899102
3530,1410440
10865,1027848
3818,1243434
3443,1473891
2906,1051998
1436,1389355
3418,1193788
2055,1401008
2423,1207462
3519,978276
3088,1234296
5257,1107706
4264,1393549
3237,984679
1801,904303
3710,1350936
3317,1385910
2790,1100832
2166,1371431
3044,1408073
3524,508409
4057,3018
2615,292354
3262,578131
1247,559300
