3,8,4295579573,2168435,2164613,3822,3822,4344
3,8,4295579073,2167891,2164613,3278,3278,4662
3,8,4295578573,2167878,2164613,3265,3265,4662
3,8,4295578073,2167627,2164613,3014,3014,4083
3,8,4295577573,2167864,2164613,3251,3251,4126
3,8,4295577073,2167711,2164613,3098,3098,4271
3,8,4295576573,2167886,2164613,3273,3273,4633
3,8,4295576073,2168113,2164613,3500,3500,4242
3,8,4295575573,2167696,2164613,3083,3083,4329
3,8,4295575073,2167608,2164613,2995,2995,4010
3,8,4295574573,2167706,2164613,3093,3093,4691
3,8,4295574073,2168046,2164613,3433,3433,4199
3,8,4295573573,2167890,2164613,3277,3277,4590
3,8,4295573073,2167821,2164613,3208,3208,4546
3,8,4295572573,2168284,2164613,3671,3671,4532
3,8,4295572073,2168031,2164613,3418,3418,3996
3,8,4295571573,2168228,2164613,3615,3615,4387
3,8,4295571073,2168433,2164613,3820,3820,4662
3,8,4295570573,2168204,2164613,3591,3591,4401
3,8,4295570073,2167783,2164613,3170,3170,4416
3,8,4295569573,2167776,2164613,3163,3163,4228
3,8,4295569073,2167912,2164613,3299,3299,4691
3,8,4295568573,2167783,2164613,3170,3170,4474
3,8,4295568073,2167532,2164613,2919,2919,4474
3,8,4295567573,2168377,2164613,3764,3764,4590
3,8,4295567073,2167748,2164613,3135,3135,4488
3,8,4295566573,2167788,2164613,3175,3175,4228
3,8,4295566073,2167741,2164613,3128,3128,4575
3,8,4295565573,2167641,2164613,3028,3028,4445
3,8,4295565073,2167769,2164613,3156,3156,4474
3,8,4295564573,2168017,2164613,3404,3404,3938
3,8,4295564073,2168001,2164613,3388,3388,4271
3,8,4295563573,2167869,2164613,3256,3256,4344
3,8,4295563073,2167715,2164613,3102,3102,4677
3,8,4295562573,2168017,2164613,3404,3404,4532
3,8,4295562073,2167703,2164613,3090,3090,4488
3,8,4295561573,2168049,2164613,3436,3436,4401
3,8,4295561073,2168015,2164613,3402,3402,4604
3,8,4295560573,2168011,2164613,3398,3398,4604
3,8,4295560073,2167589,2164613,2976,2976,4155
3,8,4295559573,2167990,2164613,3377,3377,4445
3,8,4295559073,2167641,2164613,3028,3028,4387
3,8,4295558573,2167433,2164613,2820,2820,4677
3,8,4295558073,2167623,2164613,3010,3010,4401
3,8,4295557573,2167663,2164613,3050,3050,4503
3,8,4295557073,2167899,2164613,3286,3286,4677
