1146,50721,486,51207
10922,89070,84421,173491
4074,51537,46585,98122
6542,42503,37855,80358
7033,40069,55654,95723
7563,55972,98353,154325
10607,86278,95676,181954
16019,104545,86078,190623
19087,108218,95553,203771
27166,194417,71202,265619
35030,273970,79763,353733
37371,334482,45019,379501
46358,466776,27117,493893
45435,502908,9714,512622
39639,478258,15128,493386
50305,618382,9470,627852
45036,576464,2992,579456
40082,630962,0,630962
44891,668191,0,668191
47133,677857,2998,680855
50891,677443,0,677443
46259,686649,0,686649
46553,702754,0,702754
44388,620888,3615,624503
47449,598709,3004,601713
46388,680314,0,680314
44726,662187,0,662187
38519,579609,2880,582489
45314,717911,0,717911
33737,336749,99,336848
38463,714291,0,714291
46477,702561,0,702561
43335,452713,2993,455706
40741,735101,0,735101
45910,694176,0,694176
48976,641926,6001,647927
41883,656430,0,656430
45995,680734,0,680734
44903,667509,0,667509
44766,659607,0,659607
44318,655917,0,655917
44796,662994,0,662994
22706,326878,0,326878
43389,642161,0,642161
40634,643589,2994,646583
45771,723934,2996,726930
27391,631048,8968,640016
46697,653364,11998,665362
26157,676806,5998,682804
48978,611317,33122,644439
33681,663978,5996,669974
40371,676576,23991,700567
45859,654202,69092,723294
54782,657355,95602,752957
57635,676707,92921,769628
63058,642231,182341,824572
63207,644747,155412,800159
65058,781265,81044,862309
56503,683088,95873,778961
68161,764499,140804,905303
63688,690999,167909,858908
62079,649300,218717,868017
61787,580024,221657,801681
61400,613483,153093,766576
63535,595774,125628,721402
65274,691309,63003,754312
62619,592490,30005,622495
46556,658798,14981,673779
53623,626641,56957,683598
59266,657759,93069,750828
58069,642683,113850,756533
62213,608679,209967,818646
63361,591983,194915,786898
62207,605662,119844,725506
58223,550342,113910,664252
20753,79023,8983,88006
10038,81295,0,81295
11336,109646,0,109646
23115,603366,2994,606360
41671,775375,0,775375
23087,686245,0,686245
23255,688355,0,688355
23093,683581,0,683581
23237,690720,0,690720
35716,611518,2997,614515
24916,760401,0,760401
31563,671388,3000,674388
23465,694573,0,694573
21858,649863,2998,652861
40882,610348,99,610447
32518,735382,3002,738384
23510,645126,0,645126
22021,660847,0,660847
21999,654108,0,654108
22443,664316,2995,667311
25737,645824,0,645824
27345,686852,2991,689843
21683,656562,3000,659562
38936,632293,26968,659261
49903,654613,33038,687651
54196,621105,96049,717154
56382,613424,26925,640349
57037,676967,2995,679962
50455,596429,0,596429
25943,661909,2997,664906
28920,664745,0,664745
22340,679182,0,679182
22495,677639,0,677639
21617,645735,0,645735
22556,667669,99,667768
21884,647766,0,647766
22458,664773,0,664773
22393,668920,0,668920
21043,622878,0,622878
20658,614423,0,614423
21312,639689,0,639689
22046,658462,2998,661460
48489,593921,2993,596914
27383,731596,0,731596
32501,620740,35914,656654
54869,656513,68810,725323
57829,660684,83780,744464
60355,606576,164902,771478
66969,652534,173820,826354
58471,491389,95931,587320
65475,650625,83880,734505
56648,629361,56917,686278
60126,641158,45340,686498
57476,691889,57263,749152
48232,645034,39102,684136
52105,692742,30800,723542
53603,632053,60951,693004
59797,610945,93950,704895
77476,726893,117499,844392
54757,655727,89851,745578
52276,640318,108544,748862
69944,662490,119520,782010
64397,678470,147415,825885
66370,680999,117897,798896
65647,707861,132584,840445
60552,688730,140683,829413
63805,702877,133423,836300
59918,703577,132116,835693
64904,644901,234119,879020
63521,639658,170728,810386
62637,648685,173926,822611
67286,659097,86981,746078
65410,794953,57002,851955
54041,657568,21014,678582
58178,644316,75072,719388
60987,651690,111136,762826
62348,642279,138187,780466
63182,638985,164884,803869
64130,553666,263927,817593
67667,573130,230732,803862
65041,660965,164909,825874
61298,398399,75877,474276
26814,99428,21144,120572
21919,283593,6381,289974
38746,462096,15005,477101
36158,453735,5989,459724
25576,570634,0,570634
26301,584402,0,584402
35515,615638,0,615638
33096,682389,0,682389
45928,694116,0,694116
45468,609762,366,610128
43317,654163,0,654163
46432,623009,2997,626006
44988,669999,99,670098
43393,669735,0,669735
44147,663007,0,663007
44698,659517,0,659517
44205,654784,0,654784
47407,713926,0,713926
40801,637516,3603,641119
44039,660585,0,660585
44200,660029,0,660029
41607,672532,0,672532
20961,623387,0,623387
21857,649910,0,649910
21263,638411,0,638411
21658,661662,0,661662
36357,689336,2993,692329
22079,653564,0,653564
22210,657433,0,657433
21857,646991,0,646991
23057,685353,0,685353
36300,631474,5985,637459
21983,653642,99,653741
21865,647226,0,647226
21979,653536,0,653536
21456,638054,0,638054
22892,686465,3004,689469
31410,659892,0,659892
21666,656028,2998,659026
26595,682707,0,682707
21857,676403,2993,679396
30591,680919,6003,686922
24598,736438,8998,745436
27337,695739,0,695739
40212,765312,20996,786308
53595,685723,62934,748657
57204,726889,104991,831880
63754,754537,161226,915763
57257,660284,208452,868736
54825,624439,233857,858296
64338,575959,263497,839456
62505,523740,158833,682573
61400,639865,138124,777989
64041,663120,137880,801000
59966,689497,89956,779453
61319,756273,41978,798251
60914,689403,15032,704435
63087,601239,198,601437
55548,37749,796,38545
5458,0,497,497
0,0,398,398
0,15488,782,16270
0,0,6422,6422
0,0,0,0
0,0,573,573
0,0,573,573
0,0,290,290
0,0,0,0
0,0,571,571
0,0,572,572
0,0,289,289
0,0,0,0
4953,813264,481,813745
45737,543709,763,544472
41220,651501,289,651790
21660,661751,0,661751
21471,653203,381,653584
36810,553028,6671,559699
36267,599541,0,599541
21048,643593,0,643593
24120,777346,0,777346
22806,675072,0,675072
22117,654678,0,654678
21533,637391,0,637391
21022,622254,0,622254
22329,660950,0,660950
21498,636363,0,636363
21869,647325,0,647325
21873,647448,0,647448
22633,669950,0,669950
22060,664768,0,664768
22846,676251,0,676251
21954,650259,99,650358
21364,632395,0,632395
20640,619772,0,619772
21602,657041,0,657041
22221,690043,0,690043
22203,701220,0,701220
22827,731512,0,731512
20840,675643,0,675643
22842,749646,0,749646
21406,712821,0,712821
43381,478478,0,478478
41742,567435,0,567435
21659,679348,0,679348
21652,685008,0,685008
21856,688124,0,688124
21212,663103,0,663103
22642,699610,2992,702602
21799,671668,0,671668
44154,646429,0,646429
23612,651272,0,651272
23169,682881,3093,685974
46033,667531,8970,676501
51523,662141,53950,716091
64941,698264,110669,808933
59661,609263,140831,750094
66241,661224,176712,837936
65308,593819,233598,827417
63637,514422,308514,822936
63826,528713,299225,827938
66194,496422,254479,750901
64504,590063,230924,820987
65038,728420,182787,911207
65097,709106,140782,849888
64254,721764,99033,820797
63986,703774,56890,760664
63236,724213,14958,739171
57218,182303,0,182303
16985,17703,3005,20708
9563,347943,0,347943
22502,695560,0,695560
22467,697417,99,697516
21807,674830,0,674830
21365,659029,0,659029
21697,671718,0,671718
22220,687100,0,687100
21840,675854,0,675854
33759,593268,41929,635197
56482,581987,35956,617943
57803,607458,20916,628374
36993,634318,26921,661239
42627,636076,51012,687088
48743,685098,53864,738962
47832,657994,68952,726946
53134,610951,108260,719211
61341,682947,71972,754919
52446,695036,33013,728049
41004,658493,50928,709421
55059,661052,89860,750912
45880,637140,66030,703170
47355,620834,62979,683813
51070,674647,53976,728623
46480,650858,62959,713817
56877,630188,101944,732132
59503,686535,72069,758604
57804,665980,56873,722853
53740,636286,23982,660268
47254,718210,0,718210
22040,652405,0,652405
21657,641074,0,641074
21251,635115,0,635115
22016,651703,0,651703
22033,652199,0,652199
22967,679850,0,679850
21856,646961,0,646961
34354,665156,2984,668140
33952,608434,0,608434
27243,645030,2988,648018
23550,667797,0,667797
22053,658666,0,658666
22009,657258,0,657258
23550,674502,99,674601
23761,652781,2991,655772
42231,618324,0,618324
33766,697108,0,697108
29483,654954,0,654954
34911,670459,0,670459
35992,665772,0,665772
34751,647762,0,647762
35396,660842,0,660842
36829,646836,0,646836
39396,685964,0,685964
37028,668817,0,668817
42065,667700,0,667700
43255,685327,3242,688569
64243,591176,25224,616400
63880,642110,8996,651106
59546,646678,2875,649553
47534,662444,6376,668820
54105,558427,18226,576653
61037,667152,5985,673137
35478,696156,99,696255
32402,711850,0,711850
32796,642101,0,642101
32692,685098,0,685098
34435,658129,2987,661116
42381,677671,5997,683668
39275,647231,14972,662203
52516,627460,39280,666740
61876,655320,69179,724499
60965,584431,42678,627109
67835,671474,15399,686873
64832,606022,0,606022
52548,713173,0,713173
44076,630220,5992,636212
39665,682419,0,682419
37333,636140,2995,639135
46668,658159,3000,661159
41888,625630,0,625630
42148,651844,0,651844
49733,659291,2995,662286
43272,677871,99,677970
43067,662554,0,662554
42983,647996,0,647996
41251,671594,0,671594
38629,659941,5985,665926
63078,677653,3749,681402
45977,669212,18255,687467
63667,608362,34358,642720
68015,671196,25561,696757
58751,765854,9362,775216
55521,659819,39466,699285
60464,682999,101935,784934
57532,597993,57190,655183
57151,544029,42220,586249
57236,658532,12126,670658
54921,580397,11761,592158
35072,790260,3001,793261
40368,633846,24031,657877
54637,598835,81386,680221
55618,599413,72793,672206
56937,576724,36041,612765
58133,690938,2992,693930
56583,670795,365,671160
48162,671258,0,671258
27151,675503,5759,681262
35949,694529,0,694529
43497,692621,0,692621
33535,669245,2881,672126
40571,673545,3002,676547
36466,641964,2879,644843
43085,665315,5871,671186
49254,611076,0,611076
33265,736578,0,736578
23760,672032,0,672032
23933,645624,3245,648869
40886,644673,0,644673
33843,674179,2879,677058
41540,646252,5887,652139
38196,664536,2878,667414
32351,634223,2881,637104
42963,655359,2975,658334
44247,673566,8969,682535
49327,664700,26874,691574
55505,647301,47964,695265
55877,625958,107775,733733
59045,614301,69080,683381
55514,599287,35932,635219
57655,702526,11969,714495
55306,523821,9238,533059
25704,299590,5749,305339
33201,821915,0,821915
25881,718937,2999,721936
26442,679921,3247,683168
43139,688182,3241,691423
26856,691906,0,691906
21702,639451,6368,645819
33000,692250,0,692250
24639,630552,9005,639557
43369,671187,27011,698198
50546,616193,80919,697112
54082,549390,51018,600408
55768,622888,27092,649980
56355,628972,3207,632179
42575,620636,6241,626877
47305,668144,2877,671021
37833,660248,365,660613
31597,684615,2877,687492
39735,653355,2995,656350
46815,673106,0,673106
39881,662625,2874,665499
31433,664836,0,664836
29515,694712,0,694712
28959,692017,0,692017
31393,694162,2991,697153
33039,703847,0,703847
25910,674965,0,674965
26455,718845,0,718845
28062,734701,2887,737588
34229,720920,27288,748208
54214,456127,63451,519578
56558,622793,110797,733590
50496,288754,20892,309646
11299,88352,11966,100318
12690,168145,15085,183230
9112,128380,596,128976
14646,199226,795,200021
30089,308295,9272,317567
32464,397565,596,398161
23402,459428,497,459925
22716,540676,0,540676
31318,591161,381,591542
42310,674739,573,675312
39065,697776,480,698256
38530,678208,0,678208
40546,726174,380,726554
41468,748424,762,749186
37518,702280,289,702569
44490,777463,3238,780701
55620,680162,3619,683781
54660,730680,763,731443
55277,697114,36440,733554
59152,405457,0,405457
27731,942624,3264,945888
49980,481741,572,482313
24014,694001,3095,697096
25961,697602,2994,700596
32903,666653,48676,715329
58136,613006,117551,730557
65455,684250,119255,803505
61869,647007,87288,734295
60478,658439,141835,800274
53739,550964,185688,736652
54786,520977,156005,676982
56285,594440,146314,740754
59612,677684,138078,815762
60593,707377,59950,767327
59940,699701,23881,723582
61285,702910,0,702910
