4221,34572,31157,65729
10596,226145,199557,425702
25581,443428,297040,740468
29550,363708,384694,748402
28474,464179,322318,786497
33845,416662,450250,866912
26644,410488,402579,813067
26806,426813,487863,914676
26686,369832,536294,906126
36150,367482,676215,1043697
40546,381300,722469,1103769
52316,489046,715757,1204803
57925,478244,767025,1245269
67232,523621,790415,1314036
62244,502823,712489,1215312
73144,585046,589980,1175026
78677,584635,711841,1296476
76094,454721,649375,1104096
95596,620896,644408,1265304
98358,574516,689647,1264163
105144,631594,777851,1409445
100527,683096,605571,1288667
107011,644452,733711,1378163
113497,653314,714923,1368237
97859,646752,628034,1274786
110918,668917,773203,1442120
122024,652779,900480,1553259
126989,717386,866282,1583668
128487,672210,1003965,1676175
139118,699937,1099733,1799670
128854,620027,915516,1535543
141957,794591,1092466,1887057
125347,643155,926129,1569284
142003,604732,1195976,1800708
159508,665875,1342203,2008078
143618,723976,1125438,1849414
141465,678398,1065881,1744279
133999,672008,1052706,1724714
147683,744291,1042635,1786926
146062,653168,1244298,1897466
150282,740678,1312538,2053216
149795,655774,1140275,1796049
140472,645002,1196431,1841433
155958,738861,1141441,1880302
147541,711476,1189389,1900865
135515,622365,981656,1604021
152119,748455,1316181,2064636
168986,594052,1412411,2006463
168935,747930,1498587,2246517
157883,592683,1315058,1907741
174191,720696,1484601,2205297
163113,908057,1362541,2270598
116407,561507,693089,1254596
123598,566431,1034629,1601060
166084,656947,1486000,2142947
162637,713782,1338381,2052163
143212,599652,1290043,1889695
164341,695057,1319762,2014819
140373,632419,1084621,1717040
161526,576916,1437068,2013984
132627,411489,1145375,1556864
125866,420876,1241135,1662011
121516,464058,886981,1351039
120485,748781,1110626,1859407
149442,663110,1020066,1683176
134898,617035,1131498,1748533
145611,648875,1315708,1964583
131453,464021,974964,1438985
136438,744053,1103663,1847716
134332,835822,1034178,1870000
119116,644842,750293,1395135
120104,529989,858611,1388600
136420,690198,1192808,1883006
146665,745741,1205479,1951220
148542,523067,1110807,1633874
158879,700103,1380636,2080739
145841,417127,1157741,1574868
111145,389318,1069970,1459288
92179,392212,414594,806806
476,8869,596,9465
11685,5914,314071,319985
33402,8875,237990,246865
2858,23631,3402,27033
237,2949,594,3543
1905,8862,24537,33399
6427,56085,30038,86123
6665,50183,18400,68583
0,0,762,762
15033,227357,156528,383885
90808,665443,523418,1188861
69670,553578,190074,743652
19101,192452,764,193216
24460,91406,270381,361787
27555,330285,69234,399519
27753,343348,27389,370737
18579,201195,763,201958
5416,79891,36538,116429
16394,337832,9048,346880
26608,452744,6403,459147
18013,195007,27735,222742
15344,236240,36123,272363
17020,301089,27049,328138
15852,343959,15218,359177
13941,407578,6028,413606
14575,451579,0,451579
15313,476444,3011,479455
24524,539608,9049,548657
21502,663605,0,663605
32476,672811,33024,705835
55023,670858,96249,767107
68230,677594,219578,897172
69427,689705,258954,948659
