3625,31157
22175,199557
38355,297040
39236,384694
40171,322318
41889,450250
48813,402579
53461,487863
55326,536294
52599,676215
54336,722469
49145,715757
41581,767025
48702,790415
37100,712489
29322,589980
28504,711841
13099,649375
6717,644408
4426,689647
4031,777851
14209,605571
3703,733711
4038,714923
3086,628034
2714,773203
2274,900480
4035,866282
3765,1003965
1989,1099733
4902,915516
2909,1092466
3564,926129
4574,1195976
2898,1342203
2840,1125438
2257,1065881
3046,1052706
3407,1042635
3004,1244298
2171,1312538
3881,1140275
4666,1196431
1989,1141441
4071,1189389
4052,981656
1983,1316181
3949,1412411
3818,1498587
2168,1315058
2903,1484601
2795,1362541
3852,693089
3859,1034629
4622,1486000
4347,1338381
2793,1290043
3239,1319762
2793,1084621
2612,1437068
4637,1145375
6531,1241135
4737,886981
2614,1110626
3042,1020066
3339,1131498
2568,1315708
3050,974964
1800,1103663
3004,1034178
2279,750293
3053,858611
3634,1192808
2898,1205479
3965,1110807
2893,1380636
2281,1157741
6374,1069970
6466,414594
139,596
7239,314071
7303,237990
1615,3402
3997,594
992,24537
4037,30038
1614,18400
0,762
2383,156528
3488,523418
1618,190074
0,764
1244,270381
3861,69234
1613,27389
0,763
2547,36538
4054,9048
1978,6403
808,27735
4035,36123
4174,27049
4076,15218
5055,6028
6142,0
4175,3011
3243,9049
4053,0
4017,33024
4001,96249
3154,219578
6660,258954
8373,567350
12101,724133
9440,855929
8021,680693
9248,1495413
4639,1002254
2609,1193686
2820,887653
4150,1109578
2707,1484343
3877,1114779
1986,1584587
4622,1428961
3192,1452185
3242,1571277
4447,1751288
5100,1682701
3008,1382064
1987,1946506
2769,1435785
3045,1573789
4002,1291583
2788,1449426
2411,1803615
2273,1336394
3850,1591014
3162,1753420
2176,1534897
6939,974589
7576,871297
6631,972165
6094,919974
7281,855671
5168,1066085
2999,1107259
996,648996
1622,524380
4458,513854
2057,716223
1176,630559
2240,619562
2166,759571
842,600769
2647,675115
1432,544582
1359,587955
3865,949380
4727,670089
4628,355467
8482,544761
8470,876085
3483,816371
3152,571228
6997,914408
4338,957741
3054,1069475
184,675742
3525,863432
4324,873765
3304,1114604
3525,987220
3856,1407124
5562,1553422
3694,1671768
3486,1764505
3633,1755426
1991,1823849
3091,1910961
3713,1954465
2564,1608279
3934,1670662
3800,1855685
3238,1337858
3816,1764192
2824,1331214
14197,1610506
10483,979078
8286,1804269
2796,1847813
1986,1669212
3198,1791538
3374,1770581
1619,1852485
2917,1111607
2243,1577688
3622,1627409
1988,1721997
1940,1485203
14358,1340176
3875,1500936
4038,1028012
4108,1355383
2535,1511575
2801,1573416
3333,1258385
2793,1295751
2563,1916436
2380,1785787
3048,1870498
3878,1721452
2900,1895318
3236,1716132
2790,1819531
2790,1897773
3164,1723239
4934,1588066
7826,1328486
3748,1470663
2612,1754995
3507,1702404
3237,1721713
2273,1907224
3164,1837916
4001,1658648
3343,1341749
3093,1562686
2610,1801693
2169,1532589
3240,1684445
3683,1707025
4106,1712749
2610,1735943
1368,1075439
2468,1435514
2798,1193117
4047,849140
2428,1779642
3491,1598662
3494,1422031
3194,1551165
5294,1690312
845,1680809
4030,1826224
3236,1721860
2279,1719890
1179,1836786
3627,1635947
2433,1659574
3710,1703008
3046,1878080
4602,1484543
2609,1602676
5321,1395824
3791,1568047
1837,1720540
1365,1733393
3147,1524215
8399,1530845
1802,1766220
3349,1779909
1361,1472150
3428,1463566
2614,1563231
1179,1765348
2269,1520043
1903,1528475
2427,1065741
7121,1586753
3853,1607432
2283,1345701
2722,1586213
3238,1295139
3085,1253397
6030,1171285
9839,1379023
7007,1581209
3443,1240323
7706,1529849
3957,1342406
4144,1428691
4057,1407069
2570,1708713
2609,1668612
3412,1572846
3707,1790402
3157,1707039
2275,1572685
3236,1435564
3857,1112704
2612,1047396
3172,1304286
2858,1585456
2239,1022132
3433,1525208
2443,1701248
1985,1397721
2464,1551449
2866,1606928
4420,1689891
2901,1480668
2276,1419945
2427,1607404
2550,1530956
1989,1379238
2906,1455994
8072,1180718
9460,1478666
4050,1355961
1988,1438705
2422,1474699
4050,1328921
3421,1372519
2256,1720376
739,1881407
2614,1494282
1606,795
1000,596
623,169003
1833,596
994,418799
2430,852842
1434,253615
0,572
2870,220258
4036,72076
953,30653
0,572
2430,51518
4325,60280
1621,27720
0,573
2602,24277
4357,6016
1975,6582
1430,12489
4285,72057
5566,102233
4856,165340
5213,219327
